"Hora de saida",Cliente,Artesão,Preço,Produto,"Hora de chegada",Cartão,Espécie,Quantidade
"2019-07-02 14:19:17","Sônia Fernanda Carvalho Neto","Srta. Ornela Marisa Padrão",272953,deserunt,"2016-11-13 22:44:39",,1,55573
"1991-05-01 00:02:32","Srta. Samara Adriele Neves","Dr. Mateus Vega Sobrinho",60,consectetur,"2001-04-19 05:02:36",1,1,7469
"1992-04-24 00:11:29","Dr. Teobaldo Santacruz Filho","Wilson Corona",48,cumque,"1987-06-01 23:20:08",1,1,381596740
"1987-12-14 11:28:15","Sra. Andressa Lozano Neto","Srta. Gabrielle Rocha Azevedo Jr.",682,sit,"2019-06-21 12:22:52",1,1,46528148
"2017-07-09 06:37:54","Rodolfo Vicente Gomes","Sr. Hernani Fabrício Serra Sobrinho",8646,consequatur,"1975-01-28 14:37:58",,,72777
"1972-05-17 10:47:26","Dr. Walter Tiago Godói Filho","Srta. Iasmin Camila Esteves Jr.",2428,ea,"2021-03-24 10:57:56",,,975
"1989-06-05 15:42:24","Adriano de Aguiar Neto","Rosana Rezende Filho",2,qui,"1981-04-30 15:38:07",,1,361870
"2003-05-09 16:11:06","Sandro Casanova Neto","Sr. Ian de Freitas Aragão",42512,dignissimos,"1985-05-11 14:58:05",,1,392
"1999-09-04 11:36:35","George Gabriel da Silva","Kelly Queirós",16,doloribus,"1990-08-02 12:02:25",1,,515344
"1989-09-10 10:04:17","Sr. Vinícius Cordeiro","Rogério Gian Toledo",90,quam,"1999-10-11 15:22:00",1,,35
"1997-07-19 07:07:28","Sra. Estela Teles","Pérola Zambrano Vale Neto",101177213,labore,"1999-12-25 16:04:13",1,1,39
"2017-09-23 16:00:30","Sra. Thaís Torres Neto","Dr. Demian Matias Deverso Neto",22698839,sit,"2017-09-08 02:10:11",1,,5837013
"2017-07-28 19:11:57","Laiane Carmona Zambrano","Valentin Ricardo Delatorre Sobrinho",9,rerum,"2008-11-08 15:41:33",,1,262059050
"1989-08-18 10:06:48","Gabi Daniela Pacheco Filho","Sra. Lavínia Talita Rezende",0,perferendis,"1999-02-01 10:09:20",,1,1577
"1992-11-22 06:04:41","Tatiane Saito Jr.","Ivan Franco Esteves",5252412,corporis,"1971-06-20 05:32:45",,1,306461847
"2017-02-21 09:40:40","Martinho Urias Filho","Dr. Aaron Burgos Paes Filho",19750,ea,"2013-03-19 18:24:10",1,,97501
"1981-06-10 09:45:16","Lilian Leal Quintana Filho","Marília Mari Escobar Filho",311073111,sint,"2019-01-15 04:17:09",1,,6
"2003-04-10 07:25:09","Dr. César Padrão Soto Filho","Dr. Maximiano Benites Sobrinho",641540,rerum,"2014-04-03 06:25:03",1,,1
"2001-12-22 13:12:27","Micaela Nádia Valente","Dr. Fátima Velasques",84,earum,"1988-12-31 00:07:06",,1,72332338
"1981-05-09 17:39:39","Jerônimo Vieira de Arruda","Bernardo Ortega Jr.",29454271,et,"2001-02-08 17:30:01",,1,941584802
"1976-11-15 00:33:31","Sr. Rogério Aragão Jr.","Sr. Teobaldo Marco Souza Sobrinho",94158,et,"1987-05-25 14:28:34",,1,285
"1976-12-30 22:43:16","Máximo César Padrão","Kléber Fontes",5,non,"1972-02-22 19:44:28",1,1,84983
"2018-08-09 17:30:36","Mateus Artur Molina","Sr. Sérgio Toledo Sobrinho",76908481,est,"1971-09-22 21:13:50",1,,501
"1973-07-20 23:24:22","Sr. Breno Pontes","Marcelo Marés Jr.",4139,quidem,"1993-05-11 05:42:58",,1,4338915
"2012-05-29 12:15:53","Gustavo Caldeira Filho","Dr. Ian Otávio Vega Filho",0,harum,"1998-02-23 22:32:39",,1,7352956
"1980-09-12 10:47:36","Dr. Martinho Santiago Santana Neto","Sra. Raquel Cordeiro Bezerra",502,quas,"2018-10-18 19:46:53",1,,6
"2019-12-24 06:18:41","Alessandro Cervantes Filho","Srta. Mary Rodrigues",0,ab,"2020-03-05 06:05:01",,,49299368
"1988-06-30 01:36:18","Srta. Mari Verdugo","Sra. Laiane Ortiz Rocha Jr.",2345,rerum,"1985-10-16 15:11:30",,1,783980629
"1992-07-22 20:49:19","Andressa Regiane Serrano Neto","Mário Aragão",4049287,est,"1990-04-01 10:43:42",1,,9
"1976-04-18 04:55:31","Sr. Ícaro Rezende Filho","Sr. Jerônimo Ian Cortês Neto",59611,sint,"2015-10-30 17:40:33",1,,84817386
"2001-07-19 21:14:10","Sr. Juan Rios Oliveira","Stephanie Fernandes",1530,quam,"2020-07-30 08:43:38",,,580631585
"2013-12-23 22:08:59","Leo Salgado","Jerônimo Azevedo Pereira",74987979,laboriosam,"1974-05-30 05:04:33",1,1,707734444
"2000-09-12 04:04:46","Dr. Emílio Adriel Zamana","Emília Serra da Rosa Filho",9,omnis,"1990-02-07 06:03:59",,1,4
"1985-05-25 03:51:50","Felipe Gael Pacheco Jr.","Emanuel Michael Furtado",86070757,et,"1980-07-20 20:35:18",,1,9516629
"1975-08-20 11:11:42","Sr. Alessandro Gian Perez","Sra. Heloise Aline Santiago",23810727,quas,"1999-07-23 03:50:36",,1,4141066
"2012-04-21 01:09:39","Dr. Juliano Zaragoça","Iasmin Jimenes Zaragoça Filho",8124,rerum,"2010-03-19 03:09:46",1,1,5124499
"2014-06-10 02:03:33","Emiliano Henrique Batista","Sr. Saulo Mário Cruz",7595,quia,"1996-04-21 16:47:41",,,479460
"1993-06-27 01:09:15","Mayara Caldeira Tamoio","Hosana Ortega Jr.",27,qui,"1984-02-23 07:59:19",1,1,876194
"2009-03-30 13:39:35","Sra. Karen Maldonado Galhardo Neto","Sr. Hernani Quintana",257890975,quia,"1980-02-03 19:45:08",,,3153253
